Subspace,Breakdown,Ce,Insight_type,Imp,Sig,Score
"{'Year': '2011', 'Brand': '*', 'Category': '*'}",Brand,"[('SUM', 'Sales'), ('prev', 'Year'), ('prev', 'Year')]",Point,0.20357012262879526,0.9999999999999627,0.20357012262878765
"{'Year': '*', 'Brand': 'Honda', 'Category': '*'}",Year,"[('SUM', 'Sales'), ('prev', 'Year'), ('prev', 'Year')]",Point,0.20214729030979617,1.0,0.20214729030979617
"{'Year': '*', 'Brand': 'Honda', 'Category': '*'}",Year,"[('SUM', 'Sales'), ('prev', 'Year'), ('rank', 'Year')]",Point,0.20214729030979617,1.0,0.20214729030979617
"{'Year': '*', 'Brand': 'Honda', 'Category': '*'}",Year,"[('SUM', 'Sales'), ('prev', 'Year'), ('%', 'Year')]",Point,0.20214729030979617,1.0,0.20214729030979617
"{'Year': '2011', 'Brand': '*', 'Category': '*'}",Category,"[('SUM', 'Sales'), ('prev', 'Year'), ('rank', 'Year')]",Point,0.20357012262879526,0.9835452272305487,0.2002204225182891
"{'Year': '2011', 'Brand': '*', 'Category': '*'}",Brand,"[('SUM', 'Sales'), ('prev', 'Year'), ('rank', 'Year')]",Point,0.20357012262879526,0.9726484184435362,0.19800215781725444
"{'Year': '*', 'Brand': '*', 'Category': 'Subcompact'}",Year,"[('SUM', 'Sales'), ('prev', 'Year'), ('rank', 'Year')]",Point,0.1903254792222963,1.0,0.1903254792222963
"{'Year': '*', 'Brand': '*', 'Category': 'Subcompact'}",Year,"[('SUM', 'Sales'), ('prev', 'Year'), ('prev', 'Year')]",Point,0.1903254792222963,1.0,0.1903254792222963
"{'Year': '*', 'Brand': '*', 'Category': 'Subcompact'}",Year,"[('SUM', 'Sales'), ('prev', 'Year'), ('%', 'Year')]",Point,0.1903254792222963,1.0,0.1903254792222963
"{'Year': '2010', 'Brand': '*', 'Category': '*'}",Category,"[('SUM', 'Sales'), ('prev', 'Year'), ('prev', 'Year')]",Point,0.18968328649404556,1.0,0.18968328649404556
"{'Year': '2010', 'Brand': '*', 'Category': '*'}",Brand,"[('SUM', 'Sales'), ('prev', 'Year'), ('prev', 'Year')]",Point,0.18968328649404556,1.0,0.18968328649404556
"{'Year': '2010', 'Brand': '*', 'Category': '*'}",Category,"[('SUM', 'Sales'), ('prev', 'Year'), ('%', 'Year')]",Point,0.18968328649404556,1.0,0.18968328649404556
"{'Year': '2010', 'Brand': '*', 'Category': '*'}",Brand,"[('SUM', 'Sales'), ('prev', 'Year'), ('%', 'Year')]",Point,0.18968328649404556,1.0,0.18968328649404556
"{'Year': '2010', 'Brand': '*', 'Category': '*'}",Category,"[('SUM', 'Sales'), ('prev', 'Year'), ('rank', 'Year')]",Point,0.18968328649404556,0.9999999708726208,0.18968328096906856
"{'Year': '2010', 'Brand': '*', 'Category': '*'}",Brand,"[('SUM', 'Sales'), ('prev', 'Year'), ('rank', 'Year')]",Point,0.18968328649404556,0.9999949125338368,0.1896823214867438
"{'Year': '2009', 'Brand': '*', 'Category': '*'}",Brand,"[('SUM', 'Sales'), ('prev', 'Year'), ('%', 'Year')]",Point,0.1726621684893299,1.0,0.1726621684893299
"{'Year': '2009', 'Brand': '*', 'Category': '*'}",Brand,"[('SUM', 'Sales'), ('prev', 'Year'), ('prev', 'Year')]",Point,0.1726621684893299,1.0,0.1726621684893299
"{'Year': '2009', 'Brand': '*', 'Category': '*'}",Category,"[('SUM', 'Sales'), ('prev', 'Year'), ('%', 'Year')]",Point,0.1726621684893299,0.9999999999999911,0.17266216848932836
"{'Year': '2009', 'Brand': '*', 'Category': '*'}",Category,"[('SUM', 'Sales'), ('prev', 'Year'), ('prev', 'Year')]",Point,0.1726621684893299,0.999999999992417,0.17266216848802057
"{'Year': '2009', 'Brand': '*', 'Category': '*'}",Category,"[('SUM', 'Sales'), ('prev', 'Year'), ('rank', 'Year')]",Point,0.1726621684893299,0.9999877111050752,0.17266004666208384
"{'Year': '2009', 'Brand': '*', 'Category': '*'}",Brand,"[('SUM', 'Sales'), ('prev', 'Year'), ('rank', 'Year')]",Point,0.1726621684893299,0.9988171593814144,0.17245793666314763
"{'Year': '*', 'Brand': '*', 'Category': 'Compact'}",Year,"[('SUM', 'Sales'), ('prev', 'Year'), ('prev', 'Year')]",Point,0.1241336465197515,1.0,0.1241336465197515
"{'Year': '*', 'Brand': '*', 'Category': 'Compact'}",Year,"[('SUM', 'Sales'), ('prev', 'Year'), ('rank', 'Year')]",Point,0.1241336465197515,1.0,0.1241336465197515
"{'Year': '*', 'Brand': '*', 'Category': 'Compact'}",Year,"[('SUM', 'Sales'), ('prev', 'Year'), ('%', 'Year')]",Point,0.1241336465197515,1.0,0.1241336465197515
