Subspace,Breakdown,Ce,Insight_type,Imp,Sig,Score
"{'Year': '2010', 'Brand': 'Honda', 'Category': '*'}",Category,"[('SUM', 'Sales'), ('prev', 'Year')]",Shape,0.03718053215415837,[0.02714069],[0.00100911]
"{'Year': '2011', 'Brand': '*', 'Category': 'Compact'}",Brand,"[('SUM', 'Sales'), ('prev', 'Year')]",Shape,0.02707683066438802,[0.03013251],[0.00081589]
"{'Year': '2010', 'Brand': '*', 'Category': 'MPV'}",Brand,"[('SUM', 'Sales'), ('prev', 'Year')]",Point,0.0007154076258812701,1.0,0.0007154076258812701
"{'Year': '2009', 'Brand': '*', 'Category': '*'}",Brand,"[('SUM', 'Sales'), ('prev', 'Year')]",Shape,0.1726621684893299,[0.00400011],[0.00069067]
"{'Year': '2011', 'Brand': 'BMW', 'Category': '*'}",Category,"[('SUM', 'Sales'), ('prev', 'Year')]",Shape,0.011308713786223812,[0.0574099],[0.00064923]
"{'Year': '2011', 'Brand': '*', 'Category': 'Sporty'}",Brand,"[('SUM', 'Sales'), ('prev', 'Year')]",Shape,0.003893527200908248,[0.09488089],[0.00036942]
"{'Year': '2009', 'Brand': 'Honda', 'Category': '*'}",Category,"[('SUM', 'Sales'), ('prev', 'Year')]",Shape,0.0374343437992775,[0.00648158],[0.00024263]
"{'Year': '2009', 'Brand': 'Ford', 'Category': '*'}",Category,"[('SUM', 'Sales'), ('prev', 'Year')]",Shape,0.04151622259664458,[0.00539614],[0.00022403]
"{'Year': '2008', 'Brand': 'Volkswagen', 'Category': '*'}",Category,"[('SUM', 'Sales'), ('prev', 'Year')]",Shape,0.00467161225317228,[0.0388204],[0.00018135]
"{'Year': '2010', 'Brand': '*', 'Category': 'Compact'}",Brand,"[('SUM', 'Sales'), ('prev', 'Year')]",Shape,0.024642902889949386,[0.00252224],[6.21554044e-05]
"{'Year': '2008', 'Brand': '*', 'Category': 'MPV'}",Brand,"[('SUM', 'Sales'), ('prev', 'Year')]",Shape,0.001004526642194188,[0.06122449],[6.15016312e-05]
"{'Year': '2011', 'Brand': '*', 'Category': 'MPV'}",Brand,"[('SUM', 'Sales'), ('prev', 'Year')]",Shape,0.0008737890119081636,[0.06122449],[5.34972864e-05]
"{'Year': '2009', 'Brand': 'Toyota', 'Category': '*'}",Category,"[('SUM', 'Sales'), ('prev', 'Year')]",Shape,0.0443204672177901,[0.00045957],[2.03683402e-05]
"{'Year': '2009', 'Brand': '*', 'Category': '*'}",Category,"[('SUM', 'Sales'), ('prev', 'Year')]",Shape,0.1726621684893299,[3.13292288e-06],[5.40937259e-07]
