Subspace,Breakdown,Ce,Insight_type,Imp,Sig,Score
"{'Year': '2007', 'Brand': '*', 'Category': '*'}",Category,"[('SUM', 'Sales'), ('avg', 'Category')]",Point,0.23013476832708019,1.0,0.23013476832708019
"{'Year': '*', 'Brand': 'Ford', 'Category': '*'}",Year,"[('SUM', 'Sales'), ('prev', 'Year')]",Shape,0.2504196285628057,[0.94612261],[0.23692767]
"{'Year': '*', 'Brand': 'Toyota', 'Category': '*'}",Year,"[('SUM', 'Sales'), ('rank', 'Brand')]",Point,0.2409490420663151,0.9999931873877508,0.24094740057391967
"{'Year': '*', 'Brand': 'Toyota', 'Category': '*'}",Year,"[('SUM', 'Sales'), ('%', 'Year')]",Point,0.2409490420663151,0.9999995323902835,0.24094892939620186
"{'Year': '*', 'Brand': 'Toyota', 'Category': '*'}",Year,"[('SUM', 'Sales'), ('%', 'Brand')]",Point,0.2409490420663151,0.9999999997875135,0.2409490420151167
"{'Year': '*', 'Brand': 'Toyota', 'Category': '*'}",Category,"[('SUM', 'Sales'), ('avg', 'Brand')]",Point,0.2409490420663151,1.0,0.2409490420663151
"{'Year': '*', 'Brand': 'Toyota', 'Category': '*'}",Year,"[('SUM', 'Sales'), ('rank', 'Year')]",Point,0.2409490420663151,1.0,0.2409490420663151
"{'Year': '*', 'Brand': 'Toyota', 'Category': '*'}",Year,"[('SUM', 'Sales'), ('avg', 'Year')]",Point,0.2409490420663151,1.0,0.2409490420663151
"{'Year': '*', 'Brand': 'Toyota', 'Category': '*'}",Year,"[('SUM', 'Sales'), ('avg', 'Brand')]",Point,0.2409490420663151,1.0,0.2409490420663151
"{'Year': '*', 'Brand': 'Toyota', 'Category': '*'}",Category,"[('SUM', 'Sales'), ('%', 'Brand')]",Point,0.2409490420663151,1.0,0.2409490420663151
"{'Year': '*', 'Brand': 'Toyota', 'Category': '*'}",Category,"[('SUM', 'Sales'), ('%', 'Category')]",Point,0.2409490420663151,1.0,0.2409490420663151
"{'Year': '*', 'Brand': 'Toyota', 'Category': '*'}",Category,"[('SUM', 'Sales'), ('avg', 'Category')]",Point,0.2409490420663151,1.0,0.2409490420663151
"{'Year': '*', 'Brand': 'Toyota', 'Category': '*'}",Category,"[('SUM', 'Sales'), ('rank', 'Category')]",Point,0.2409490420663151,1.0,0.2409490420663151
"{'Year': '*', 'Brand': 'Toyota', 'Category': '*'}",Year,"[('SUM', 'Sales'), ('prev', 'Year')]",Point,0.2409490420663151,1.0,0.2409490420663151
"{'Year': '*', 'Brand': 'Ford', 'Category': '*'}",Category,"[('SUM', 'Sales'), ('rank', 'Brand')]",Point,0.2504196285628057,0.9999995870085938,0.25041952514165117
"{'Year': '*', 'Brand': 'Ford', 'Category': '*'}",Category,"[('SUM', 'Sales'), ('avg', 'Brand')]",Point,0.2504196285628057,0.9999999999436466,0.2504196285486937
"{'Year': '*', 'Brand': 'Ford', 'Category': '*'}",Year,"[('SUM', 'Sales'), ('%', 'Year')]",Point,0.2504196285628057,0.9999999999999618,0.25041962856279615
"{'Year': '*', 'Brand': 'Ford', 'Category': '*'}",Year,"[('SUM', 'Sales'), ('rank', 'Brand')]",Point,0.2504196285628057,0.9999999999999953,0.25041962856280453
"{'Year': '*', 'Brand': 'Ford', 'Category': '*'}",Year,"[('SUM', 'Sales'), ('prev', 'Year')]",Point,0.2504196285628057,1.0,0.2504196285628057
"{'Year': '*', 'Brand': 'Ford', 'Category': '*'}",Year,"[('SUM', 'Sales'), ('avg', 'Year')]",Point,0.2504196285628057,1.0,0.2504196285628057
"{'Year': '*', 'Brand': 'Ford', 'Category': '*'}",Category,"[('SUM', 'Sales'), ('%', 'Brand')]",Point,0.2504196285628057,1.0,0.2504196285628057
"{'Year': '*', 'Brand': 'Ford', 'Category': '*'}",Category,"[('SUM', 'Sales'), ('%', 'Category')]",Point,0.2504196285628057,1.0,0.2504196285628057
