year,country 的计数
1970,1
1972,1
1973,1
1974,1
1975,3
1976,2
1977,2
1978,1
1979,5
1980,3
1981,4
1982,4
1983,3
1984,4
1985,5
1986,4
1987,5
1988,7
1989,6
1990,5
1991,6
1992,6
1994,6
1995,5
1996,6
1997,6
1998,5
1999,6
2000,6
2001,6
2002,6
2003,6
2004,6
2005,6
2006,8
2007,7
2008,8
2009,6
2010,6
2011,6
2012,7
2013,7
2014,8
2015,7
2016,7
2017,7
2018,7
2019,7
