year,count
1970,28
1971,55
1972,53
1973,19
1974,42
1975,44
1976,55
1977,211
1978,128
1979,455
1980,437
1981,312
1982,290
1983,334
1984,268
1985,133
1986,196
1987,202
1988,246
1989,465
1990,494
1991,612
1992,1192
1994,1051
1995,590
1996,373
1997,548
1998,247
1999,316
2000,272
2001,361
2002,324
2003,310
2004,492
2005,882
2006,1186
2007,1384
2008,1535
2009,1361
2010,1463
2011,1663
2012,2402
2013,4570
2014,6996
2015,6194
2016,6557
2017,4181
2018,2737
2019,2148
