country,count
El Salvador,664
Guatemala,399
Colombia,172
Peru,149
United Kingdom,142
Iran,108
Spain,107
Lebanon,81
United States,74
Italy,69
France,66
Nicaragua,47
South Africa,42
Syria,41
Chile,34
Israel,32
Philippines,31
West Germany (FRG),31
Uganda,25
West Bank and Gaza Strip,21
Greece,20
Thailand,18
Honduras,17
India,16
Switzerland,13
Brazil,11
Costa Rica,10
Portugal,10
Egypt,9
Zimbabwe,9
Somalia,8
Turkey,8
Venezuela,7
Belgium,6
Denmark,6
Bolivia,5
Ireland,5
Lesotho,5
Pakistan,4
Panama,4
Austria,3
Cyprus,3
Hong Kong,3
Iraq,3
Kuwait,3
Mexico,3
Mozambique,3
United Arab Emirates,3
Argentina,2
Dominica,2
Ecuador,2
Jordan,2
New Zealand,2
Seychelles,2
Sri Lanka,2
Yugoslavia,2
Albania,1
Angola,1
Australia,1
Bahamas,1
Bangladesh,1
Central African Republic,1
Guadeloupe,1
Guyana,1
Indonesia,1
Jamaica,1
Japan,1
Martinique,1
Netherlands,1
North Yemen,1
Norway,1
Poland,1
Sudan,1
Trinidad and Tobago,1
Vatican City,1
Zambia,1
