year,count
1970,1
1971,1
1972,3
1973,11
1974,11
1975,15
1976,4
1977,4
1978,12
1979,38
1980,86
1981,81
1982,120
1983,234
1984,166
1985,96
1986,106
1987,94
1988,125
1989,142
1990,84
1991,91
1992,91
1994,67
1995,38
1996,39
1997,46
1998,23
1999,42
2000,12
2001,5
2002,8
2003,5
2004,1
2005,17
2006,8
2007,18
2008,58
2009,14
2010,5
2011,10
2012,15
2013,121
2014,205
2015,44
2016,41
2017,23
2018,8
2019,7
