year,country 的计数
1970,33
1971,33
1972,42
1973,41
1974,47
1975,41
1976,52
1977,54
1978,61
1979,75
1980,71
1981,76
1982,65
1983,73
1984,75
1985,71
1986,77
1987,71
1988,77
1989,87
1990,84
1991,119
1992,141
1994,136
1995,125
1996,123
1997,119
1998,74
1999,89
2000,98
2001,97
2002,76
2003,76
2004,54
2005,67
2006,71
2007,78
2008,92
2009,83
2010,74
2011,76
2012,84
2013,95
2014,100
2015,98
2016,108
2017,103
2018,109
2019,99
