country,count
El Salvador,5320
Guatemala,2052
Nicaragua,1980
Honduras,328
Haiti,222
Panama,127
Dominican Republic,90
Costa Rica,69
Guadeloupe,56
Jamaica,36
Cuba,30
Trinidad and Tobago,24
Martinique,12
Belize,8
Bahamas,5
Grenada,5
Barbados,3
Dominica,3
St. Kitts and Nevis,2
Antigua and Barbuda,1
St. Lucia,1
