country,count
United Kingdom,292
United States,68
West Germany (FRG),24
Argentina,20
Spain,19
Iran,15
Israel,15
France,11
Turkey,9
Australia,8
Austria,7
Jordan,7
Philippines,7
Uruguay,7
Brunei,5
Ireland,5
Belgium,4
Canada,4
Italy,4
Brazil,3
Lebanon,3
Sweden,3
Switzerland,3
Zaire,3
Cambodia,2
Colombia,2
El Salvador,2
Greece,2
Algeria,1
Czechoslovakia,1
Egypt,1
India,1
Kuwait,1
Mexico,1
Netherlands,1
Panama,1
People's Republic of the Congo,1
Portugal,1
South Vietnam,1
Thailand,1
Venezuela,1
West Bank and Gaza Strip,1
