country,count
Colombia,8742
Peru,6109
Chile,2444
Argentina,821
Bolivia,317
Venezuela,313
Brazil,287
Ecuador,238
Paraguay,118
Uruguay,82
Suriname,66
Guyana,27
French Guiana,7
Falkland Islands,1
