year,count
1970,12
1971,5
1972,1
1973,1
1974,2
1977,2
1978,2
1979,1
1980,1
1981,4
1982,3
1983,2
1984,4
1985,5
1986,3
1987,1
1988,4
1989,16
1990,58
1991,84
1992,91
1994,95
1995,68
1996,175
1997,248
1998,105
1999,138
2000,234
2001,252
2002,112
2003,100
2004,45
2005,76
2006,70
2007,62
2008,209
2009,165
2010,261
2011,198
2012,173
2013,166
2014,963
2015,685
2016,136
2017,112
2018,72
2019,44
