region,count
South Asia,1759
Middle East & North Africa,1535
Southeast Asia,514
Sub-Saharan Africa,380
Eastern Europe,209
Western Europe,162
South America,144
Central Asia,36
North America,31
East Asia,25
Australasia & Oceania,6
