year,count
1970,3
1971,3
1972,4
1973,15
1974,22
1975,7
1976,173
1977,308
1978,277
1979,209
1980,110
1981,69
1982,23
1983,7
1984,14
1985,11
1986,7
1987,14
1988,29
1989,15
1990,6
1991,31
1992,37
1994,18
1995,1
1996,8
1997,8
1998,6
1999,7
2000,8
2001,11
2002,7
2003,15
2004,3
2005,6
2006,4
2008,1
2009,4
2010,10
2011,5
2012,10
2013,7
2014,7
2015,5
2016,11
2017,10
2018,15
2019,8
