year,country 的计数
1970,5
1971,7
1972,9
1973,5
1974,8
1975,7
1976,11
1977,9
1978,13
1979,15
1980,14
1981,12
1982,11
1983,11
1984,12
1985,11
1986,13
1987,10
1988,11
1989,11
1990,8
1991,15
1992,15
1994,15
1995,16
1996,16
1997,12
1998,11
1999,10
2000,12
2001,13
2002,12
2003,12
2004,9
2005,13
2006,13
2007,13
2008,13
2009,10
2010,12
2011,16
2012,15
2013,16
2014,16
2015,18
2016,16
2017,15
2018,17
2019,13
