year,count
1970,2
1972,1
1973,6
1974,16
1975,10
1976,20
1977,19
1978,30
1979,10
1980,5
1981,3
1982,3
1983,2
1984,4
1985,1
1986,2
1987,1
1988,3
1989,1
1990,5
1991,10
1992,6
1994,42
1995,29
1996,75
1997,95
1998,2
1999,1
2000,4
2001,7
2003,1
2004,1
2005,1
2006,7
2007,10
2008,8
2009,1
2010,5
2011,2
2012,16
2013,8
2014,5
2015,19
2016,5
2017,20
2018,27
2019,31
