year,count
1972,11
1973,14
1974,29
1975,39
1976,58
1977,53
1978,59
1979,212
1980,94
1981,66
1982,62
1983,121
1984,145
1985,105
1986,95
1987,87
1988,54
1989,25
1990,30
1991,137
1992,126
1994,97
1995,71
1996,270
1997,130
1998,12
1999,46
2000,28
2001,21
2002,32
2003,34
2004,11
2005,33
2006,34
2007,16
2008,13
2009,9
2010,3
2011,8
2012,66
2013,18
2014,14
2015,38
2016,25
2017,42
2018,13
2019,20
