year,count
1971,1
1972,15
1973,1
1974,12
1975,2
1976,2
1977,6
1978,23
1979,129
1980,77
1981,32
1982,54
1983,26
1984,20
1985,18
1986,47
1987,20
1988,32
1989,73
1990,81
1991,53
1992,58
1994,41
1995,12
1996,18
1997,12
1998,12
1999,8
2000,13
2001,70
2002,71
2003,34
2004,18
2005,28
2006,79
2007,49
2008,129
2009,36
2010,14
2011,51
2012,59
2013,37
2014,293
2015,58
2016,50
2017,34
2018,63
2019,65
