year,count
1970,3
1971,1
1972,2
1973,11
1974,6
1975,4
1976,21
1977,47
1978,39
1979,9
1980,15
1981,20
1982,19
1983,11
1984,28
1985,35
1986,41
1987,26
1988,38
1989,50
1990,55
1991,57
1992,35
1994,42
1995,8
1996,20
1997,21
1998,28
1999,35
2000,28
2001,14
2002,10
2003,12
2004,4
2005,6
2006,23
2007,15
2008,53
2009,115
2010,49
2011,11
2012,23
2013,55
2014,27
2015,30
2016,30
2017,44
2018,26
2019,32
